time,error,control,position,target,P,I,D
1.0,55.33,9959.06,26.18,81.51,44.27,9915.13,-0.33
2.01,-1.05,0.0,82.35,81.29,0.0,0.0,0.0
3.01,-0.59,0.0,82.32,81.73,0.0,0.0,0.0
4.02,-0.81,0.0,82.32,81.51,0.0,0.0,0.0
5.02,-0.81,0.0,82.32,81.51,0.0,0.0,0.0
6.02,-0.59,0.0,82.32,81.73,0.0,0.0,0.0
7.03,-0.37,0.0,82.32,81.95,0.0,0.0,0.0
8.03,-0.37,0.0,82.32,81.95,0.0,0.0,0.0
9.03,7.23,187.78,83.9,91.13,5.79,182.32,-0.33
10.04,-1.03,0.0,106.8,105.77,0.0,0.0,0.0
11.04,-0.64,0.0,121.49,120.85,0.0,0.0,0.0
12.05,7.62,215.58,126.77,134.4,6.1,209.49,-0.01
13.05,4.54,423.05,156.08,160.62,3.63,419.42,-0.0
14.06,1.97,0.0,173.95,175.92,0.0,0.0,0.0
15.06,0.07,0.0,163.83,163.9,0.0,0.0,0.0
16.07,0.23,0.0,161.05,161.28,0.0,0.0,0.0
17.07,-36.18,-9088.08,121.63,85.45,-28.95,-9059.03,-0.1
18.08,-0.1,0.0,82.27,82.17,0.0,0.0,0.0
19.08,-0.78,0.0,83.16,82.39,0.0,0.0,0.0
