time,error,control,position,target,P,I,D
1.0,69.46,1110.01,13.36,82.82,20.84,1089.17,-0.0
2.01,39.54,2652.01,42.85,82.39,11.86,2640.14,-0.0
3.01,10.39,3350.16,72.21,82.61,3.12,3347.04,-0.0
4.01,-2.01,0.0,84.84,82.82,0.0,0.0,0.0
5.02,-1.79,0.0,84.84,83.04,0.0,0.0,0.0
6.03,-2.23,0.0,84.84,82.61,0.0,0.0,0.0
7.03,-2.67,0.0,84.84,82.17,0.0,0.0,0.0
8.03,-2.01,0.0,84.84,82.82,0.0,0.0,0.0
9.04,-2.23,0.0,84.84,82.61,0.0,0.0,0.0
10.04,-2.01,0.0,84.84,82.82,0.0,0.0,0.0
11.05,-1.36,0.0,84.84,83.48,0.0,0.0,0.0
12.05,-2.01,0.0,84.84,82.82,0.0,0.0,0.0
13.06,-2.45,0.0,84.84,82.39,0.0,0.0,0.0
14.06,-2.45,0.0,84.84,82.39,0.0,0.0,0.0
15.07,-2.01,0.0,84.83,82.82,0.0,0.0,0.0
16.07,-2.67,0.0,84.83,82.17,0.0,0.0,0.0
17.08,-1.79,0.0,84.83,83.04,0.0,0.0,0.0
18.08,-2.23,0.0,84.83,82.61,0.0,0.0,0.0
19.09,-2.45,0.0,84.83,82.39,0.0,0.0,0.0
