time,error,control,position,target,P,I,D
1.0,69.4,74.39,13.43,82.82,69.4,5.0,-0.0
2.01,46.69,51.68,36.14,82.82,46.69,5.0,-0.0
3.01,31.16,36.16,51.44,82.61,31.16,5.0,-0.0
4.01,21.3,26.29,61.75,83.04,21.3,5.0,-0.0
5.02,14.59,19.66,68.67,83.26,14.59,5.0,0.07
6.02,9.75,14.75,73.29,83.04,9.75,5.0,-0.0
7.03,5.51,9.1,77.31,82.82,5.51,3.61,-0.02
8.03,4.15,0.0,78.01,82.17,0.0,0.0,0.0
9.03,5.66,9.43,78.03,83.7,5.66,3.77,0.0
10.04,4.91,0.0,78.36,83.26,0.0,0.0,0.0
11.05,5.51,6.06,78.41,83.92,5.51,0.55,-0.0
12.05,4.96,0.0,78.52,83.48,0.0,0.0,0.0
13.06,4.74,0.0,78.52,83.26,0.0,0.0,0.0
14.06,4.74,0.0,78.52,83.26,0.0,0.0,0.0
15.07,4.74,0.0,78.52,83.26,0.0,0.0,0.0
16.07,4.52,0.0,78.52,83.04,0.0,0.0,0.0
17.08,4.74,0.0,78.52,83.26,0.0,0.0,0.0
18.08,5.18,5.7,78.52,83.7,5.18,0.52,0.0
19.09,4.52,0.0,78.52,83.04,0.0,0.0,0.0
