time,error,control,position,target,P,I,D
1.0,26.81,60.22,13.4,40.21,40.22,20.0,-0.0
2.01,0.46,0.0,40.4,40.87,0.0,0.0,0.0
3.01,-0.76,0.0,41.41,40.65,0.0,0.0,0.0
4.02,-23.13,-54.7,29.91,6.77,-34.7,-20.0,0.0
5.02,1.44,0.0,5.12,6.56,0.0,0.0,0.0
6.03,1.32,0.0,5.67,6.99,0.0,0.0,0.0
7.03,22.41,53.62,16.27,38.68,33.62,20.0,-0.0
8.04,2.97,24.48,44.02,46.98,4.45,20.0,0.03
9.04,-1.05,0.0,47.16,46.11,0.0,0.0,0.0
10.05,-2.33,-23.43,46.04,43.71,-3.5,-20.0,0.07
11.05,-9.59,-34.38,16.58,6.99,-14.38,-20.0,0.0
12.06,0.71,0.0,6.5,7.21,0.0,0.0,0.0
13.06,0.5,0.0,6.5,6.99,0.0,0.0,0.0
14.06,22.29,53.43,26.01,48.3,33.43,20.0,-0.0
15.07,0.11,0.0,46.22,46.33,0.0,0.0,0.0
16.07,0.41,0.0,44.17,44.58,0.0,0.0,0.0
17.08,-23.99,-56.09,31.21,7.21,-35.99,-20.0,-0.1
18.08,1.45,0.0,5.55,6.99,0.0,0.0,0.0
