time,error,control,position,target,P,I,D
0.0,40.65,70.97,0.0,40.65,60.97,10.0,0.0
1.01,18.99,38.32,21.22,40.21,28.49,10.0,-0.16
2.01,1.49,0.0,38.72,40.21,0.0,0.0,0.0
3.02,-0.95,0.0,41.16,40.21,0.0,0.0,0.0
4.02,-0.3,0.0,41.16,40.87,0.0,0.0,0.0
5.02,-0.73,0.0,41.16,40.43,0.0,0.0,0.0
6.03,-0.3,0.0,41.16,40.87,0.0,0.0,0.0
7.03,-0.08,0.0,41.16,41.08,0.0,0.0,0.0
8.03,-0.95,0.0,41.16,40.21,0.0,0.0,0.0
9.04,-31.92,-57.91,38.69,6.77,-47.88,-10.0,-0.03
10.04,-26.06,-49.09,32.84,6.77,-39.09,-10.0,0.0
11.05,-18.43,-37.65,25.43,6.99,-27.65,-10.0,0.0
12.05,-9.26,-23.88,16.03,6.77,-13.89,-10.0,0.0
13.05,-0.28,0.0,7.5,7.21,0.0,0.0,0.0
14.06,-0.72,0.0,7.5,6.77,0.0,0.0,0.0
15.06,-0.07,0.0,7.5,7.43,0.0,0.0,0.0
16.06,-0.94,0.0,7.5,6.56,0.0,0.0,0.0
17.07,-0.5,0.0,7.5,6.99,0.0,0.0,0.0
