time,error,control,position,target,P,I,D
1.0,71.22,114.73,13.57,84.79,106.83,8.0,-0.1
2.01,42.27,71.41,42.95,85.23,63.41,8.0,-0.0
3.01,13.73,28.57,71.49,85.23,20.6,8.0,-0.03
4.01,0.02,0.0,85.43,85.45,0.0,0.0,0.0
5.02,-0.85,0.0,85.43,84.57,0.0,0.0,0.0
6.03,0.02,0.0,85.43,85.45,0.0,0.0,0.0
7.03,0.02,0.0,85.43,85.45,0.0,0.0,0.0
8.03,0.07,0.0,85.16,85.23,0.0,0.0,0.0
9.04,0.18,0.0,84.61,84.79,0.0,0.0,0.0
10.04,0.84,0.0,84.61,85.45,0.0,0.0,0.0
11.04,0.62,0.0,84.61,85.23,0.0,0.0,0.0
12.05,-0.04,0.0,84.61,84.57,0.0,0.0,0.0
13.05,0.62,0.0,84.61,85.23,0.0,0.0,0.0
14.05,-0.04,0.0,84.61,84.57,0.0,0.0,0.0
15.06,0.62,0.0,84.61,85.23,0.0,0.0,0.0
16.06,0.62,0.0,84.61,85.23,0.0,0.0,0.0
17.06,0.62,0.0,84.61,85.23,0.0,0.0,0.0
18.06,0.18,0.0,84.61,84.79,0.0,0.0,0.0
