time,error,control,position,target,P,I,D
1.0,26.57,119.85,13.42,39.99,39.86,80.0,-0.0
2.01,-1.58,-4.89,41.79,40.21,-2.37,-2.52,-0.0
3.01,-0.5,0.0,40.92,40.43,0.0,0.0,0.0
4.02,-31.31,-126.97,37.43,6.12,-46.97,-80.0,0.0
5.02,-0.89,0.0,7.45,6.56,0.0,0.0,0.0
6.03,0.61,0.0,6.17,6.77,0.0,0.0,0.0
7.03,-0.27,0.0,6.17,5.9,0.0,0.0,0.0
8.03,11.93,97.92,28.5,40.43,17.89,80.0,0.03
9.04,-0.46,0.0,40.67,40.21,0.0,0.0,0.0
10.04,-0.46,0.0,40.67,40.21,0.0,0.0,0.0
11.05,0.42,0.0,40.67,41.08,0.0,0.0,0.0
12.05,-11.34,-97.08,17.68,6.34,-17.01,-80.0,-0.06
13.06,-0.11,0.0,6.67,6.56,0.0,0.0,0.0
14.06,-0.11,0.0,6.67,6.56,0.0,0.0,0.0
15.06,17.15,105.72,26.34,43.49,25.72,80.0,-0.0
16.07,0.46,0.0,39.75,40.21,0.0,0.0,0.0
17.07,-0.41,0.0,40.84,40.43,0.0,0.0,0.0
18.08,-0.63,0.0,40.84,40.21,0.0,0.0,0.0
