time,error,control,position,target,P,I,D
1.0,82.99,0.02,0.05,83.04,0.02,0.0,0.0
2.01,80.56,0.02,2.7,83.26,0.02,0.0,0.0
3.01,75.91,0.02,6.7,82.61,0.02,0.0,-0.0
4.01,72.99,0.02,10.7,83.7,0.01,0.0,-0.0
5.02,68.76,0.01,14.72,83.48,0.01,0.0,-0.0
6.02,64.08,0.01,18.75,82.82,0.01,0.0,-0.0
7.02,60.26,0.01,22.78,83.04,0.01,0.0,-0.0
8.03,56.21,0.01,26.83,83.04,0.01,0.0,-0.0
9.03,52.36,0.01,30.9,83.26,0.01,0.0,0.0
10.03,47.65,0.01,34.96,82.61,0.01,0.0,-0.0
11.04,44.01,0.01,39.03,83.04,0.01,0.0,-0.0
12.04,40.18,0.01,43.08,83.26,0.01,0.0,-0.0
13.04,35.9,0.01,47.14,83.04,0.01,0.0,-0.0
14.05,32.49,0.01,51.21,83.7,0.01,0.0,0.0
15.05,27.99,0.01,55.27,83.26,0.01,0.0,-0.0
16.05,23.91,0.01,59.35,83.26,0.0,0.0,-0.0
17.06,20.05,0.01,63.43,83.48,0.0,0.0,-0.0
18.06,15.54,0.0,67.51,83.04,0.0,0.0,-0.0
19.06,11.89,0.0,71.59,83.48,0.0,0.0,-0.0
