time,error,control,position,target,P,I,D
0.0,41.52,72.28,0.0,41.52,62.28,10.0,0.0
1.01,19.94,39.91,21.36,41.3,29.91,10.0,-0.0
2.01,2.41,13.61,38.9,41.3,3.61,10.0,-0.0
3.02,-0.93,0.0,41.58,40.65,0.0,0.0,0.0
4.02,-0.5,0.0,41.58,41.08,0.0,0.0,0.0
5.02,-0.28,0.0,41.58,41.3,0.0,0.0,0.0
6.03,-0.5,0.0,41.58,41.08,0.0,0.0,0.0
7.03,-10.31,-25.49,41.56,31.25,-15.46,-10.0,-0.03
8.03,-29.7,-54.59,36.48,6.77,-44.56,-10.0,-0.03
9.04,-23.42,-45.13,30.19,6.77,-35.13,-10.0,0.0
10.04,-16.54,-34.81,22.22,5.68,-24.81,-10.0,0.0
11.05,-5.79,-18.68,12.12,6.34,-8.68,-10.0,0.0
12.05,-0.48,0.0,7.25,6.77,0.0,0.0,0.0
13.06,8.25,22.38,7.27,15.52,12.38,10.0,-0.0
14.06,16.57,34.85,24.51,41.08,24.86,10.0,-0.0
15.06,0.43,0.0,40.43,40.87,0.0,0.0,0.0
16.07,-0.16,0.0,40.59,40.43,0.0,0.0,0.0
17.07,-0.16,0.0,40.59,40.43,0.0,0.0,0.0
