time,error,control,position,target,P,I,D
1.0,74.85,114.58,8.63,83.48,1.5,113.08,0.0
2.01,45.6,283.57,38.1,83.7,0.91,282.66,0.0
3.01,15.77,369.11,67.5,83.26,0.32,368.8,-0.0
4.01,-3.03,-0.07,86.08,83.04,-0.06,-0.01,0.0
5.02,-2.83,0.0,85.88,83.04,0.0,0.0,0.0
6.03,-2.87,0.0,85.91,83.04,0.0,0.0,0.0
7.03,-2.21,0.0,85.9,83.7,0.0,0.0,0.0
8.03,-2.43,0.0,85.91,83.48,0.0,0.0,0.0
9.04,-2.65,0.0,85.91,83.26,0.0,0.0,0.0
10.05,-3.08,-0.07,85.91,82.82,-0.06,-0.01,0.0
11.05,-3.08,-0.08,85.91,82.82,-0.06,-0.0,-0.02
12.06,-2.64,0.0,85.91,83.26,0.0,0.0,0.0
13.06,-2.43,0.0,85.91,83.48,0.0,0.0,0.0
14.07,-2.21,0.0,85.91,83.7,0.0,0.0,0.0
15.07,-2.43,0.0,85.91,83.48,0.0,0.0,0.0
16.08,-2.43,0.0,85.91,83.48,0.0,0.0,0.0
17.08,-2.42,0.0,85.9,83.48,0.0,0.0,0.0
18.09,-3.3,-0.07,85.9,82.61,-0.07,-0.01,0.0
19.09,-2.42,0.0,85.9,83.48,0.0,0.0,0.0
