time,error,control,position,target,P,I,D
0.0,40.87,71.3,0.0,40.87,61.3,10.0,0.0
1.01,13.26,29.93,27.38,40.65,19.9,10.0,0.03
2.01,-0.53,0.0,41.4,40.87,0.0,0.0,0.0
3.02,-0.9,0.0,41.33,40.43,0.0,0.0,0.0
4.02,-0.9,0.0,41.33,40.43,0.0,0.0,0.0
5.03,-0.9,0.0,41.33,40.43,0.0,0.0,0.0
6.03,-0.9,0.0,41.33,40.43,0.0,0.0,0.0
7.04,-0.68,0.0,41.33,40.65,0.0,0.0,0.0
8.04,-1.12,0.0,41.33,40.21,0.0,0.0,0.0
9.05,-28.76,-53.13,35.53,6.77,-43.13,-10.0,0.0
10.05,-1.73,-7.25,8.29,6.56,-2.6,-4.66,0.0
11.06,0.38,0.0,6.17,6.56,0.0,0.0,0.0
12.06,0.38,0.0,6.17,6.56,0.0,0.0,0.0
13.06,0.6,0.0,6.17,6.77,0.0,0.0,0.0
14.07,0.6,0.0,6.17,6.77,0.0,0.0,0.0
15.07,9.59,24.38,7.68,17.26,14.38,10.0,-0.0
16.08,6.03,19.05,34.4,40.43,9.05,10.0,-0.0
17.08,-0.85,0.0,41.5,40.65,0.0,0.0,0.0
