time,error,control,position,target,P,I,D
0.0,40.87,55.17,0.0,40.87,40.87,12.26,2.04
0.02,41.9,56.93,0.06,41.96,41.9,15.0,0.03
0.04,40.96,55.96,0.34,41.3,40.96,15.0,-0.0
0.09,39.82,54.82,1.04,40.87,39.82,15.0,-0.0
0.14,39.15,54.15,1.94,41.08,39.15,15.0,-0.0
0.19,38.26,53.26,2.82,41.08,38.26,15.0,-0.0
0.24,37.78,52.82,3.74,41.52,37.78,15.0,0.03
0.28,36.26,51.26,4.6,40.87,36.26,15.0,-0.0
0.33,35.61,50.62,5.48,41.08,35.61,15.0,0.01
0.38,34.97,49.99,6.33,41.3,34.97,15.0,0.02
0.43,34.17,49.18,7.14,41.3,34.17,15.0,0.01
0.48,33.3,48.3,8.0,41.3,33.3,15.0,-0.0
0.53,32.43,47.43,8.87,41.3,32.43,15.0,-0.0
0.57,31.34,46.34,9.74,41.08,31.34,15.0,-0.0
0.62,30.5,45.52,10.58,41.08,30.5,15.0,0.02
0.67,30.09,45.11,11.43,41.52,30.09,15.0,0.02
0.72,29.01,44.02,12.29,41.3,29.01,15.0,0.01
0.77,28.17,43.17,13.14,41.3,28.17,15.0,-0.0
0.82,26.88,41.88,13.99,40.87,26.88,15.0,-0.0
0.87,25.76,40.74,14.88,40.65,25.76,15.0,-0.02
0.92,25.1,40.09,15.76,40.87,25.1,15.0,-0.01
0.97,24.44,39.43,16.65,41.08,24.44,15.0,-0.0
1.02,23.8,38.8,17.51,41.3,23.8,15.0,-0.0
1.07,22.72,37.72,18.37,41.08,22.72,15.0,-0.0
1.12,22.28,37.3,19.24,41.52,22.28,15.0,0.02
1.17,20.97,35.97,20.11,41.08,20.97,15.0,-0.0
1.22,19.89,34.89,20.97,40.87,19.89,15.0,-0.0
1.27,19.23,34.23,21.86,41.08,19.23,15.0,-0.0
1.32,18.35,33.35,22.73,41.08,18.35,15.0,-0.0
1.37,17.71,32.74,23.59,41.3,17.71,15.0,0.03
1.42,16.42,31.42,24.45,40.87,16.42,15.0,-0.0
