time,error,control,position,target,P,I,D
1.0,70.49,75.49,13.43,83.92,70.49,5.0,-0.0
2.01,46.7,51.7,36.34,83.04,46.7,5.0,-0.0
3.01,31.53,36.5,51.74,83.26,31.53,5.0,-0.02
4.01,21.16,26.16,62.1,83.26,21.16,5.0,-0.0
5.02,14.18,19.16,69.08,83.26,14.18,5.0,-0.02
6.02,9.75,14.75,73.73,83.48,9.75,5.0,-0.0
7.03,5.96,10.94,77.74,83.7,5.96,5.0,-0.02
8.03,5.3,6.1,78.18,83.48,5.3,0.27,0.53
9.03,4.83,0.0,78.21,83.04,0.0,0.0,0.0
10.04,5.34,5.88,78.36,83.7,5.34,0.53,0.0
11.05,4.05,0.0,78.99,83.04,0.0,0.0,0.0
12.05,4.49,0.0,78.99,83.48,0.0,0.0,0.0
13.06,4.49,0.0,79.0,83.48,0.0,0.0,0.0
14.06,4.49,0.0,79.0,83.48,0.0,0.0,0.0
15.07,4.7,0.0,79.0,83.7,0.0,0.0,0.0
16.07,4.05,0.0,79.0,83.04,0.0,0.0,0.0
17.08,4.7,0.0,79.0,83.7,0.0,0.0,0.0
18.08,4.7,0.0,79.0,83.7,0.0,0.0,0.0
19.09,4.26,0.0,79.0,83.26,0.0,0.0,0.0
