time,error,control,position,target,P,I,D
1.0,75.03,2283.75,8.23,83.26,45.02,2238.67,0.06
2.01,56.32,5982.21,26.07,82.39,33.79,5948.42,-0.0
3.01,38.73,8679.61,43.88,82.61,23.24,8656.37,-0.0
4.01,21.38,10369.12,61.66,83.04,12.83,10356.29,-0.0
5.02,2.94,0.0,79.45,82.39,0.0,0.0,0.0
6.02,1.08,0.0,81.09,82.17,0.0,0.0,0.0
7.03,1.0,0.0,81.17,82.17,0.0,0.0,0.0
8.03,1.0,0.0,81.17,82.17,0.0,0.0,0.0
9.04,1.21,0.0,81.17,82.39,0.0,0.0,0.0
10.04,1.65,0.0,81.17,82.82,0.0,0.0,0.0
11.04,1.0,0.0,81.17,82.17,0.0,0.0,0.0
12.05,0.56,0.0,81.17,81.73,0.0,0.0,0.0
13.05,1.0,0.0,81.17,82.17,0.0,0.0,0.0
14.05,1.87,0.0,81.17,83.04,0.0,0.0,0.0
15.05,1.43,0.0,81.17,82.61,0.0,0.0,0.0
16.06,1.21,0.0,81.17,82.39,0.0,0.0,0.0
17.06,1.65,0.0,81.17,82.82,0.0,0.0,0.0
18.06,1.21,0.0,81.17,82.39,0.0,0.0,0.0
19.07,1.87,0.0,81.17,83.04,0.0,0.0,0.0
