time,error,control,position,target,P,I,D
1.0,27.03,60.45,13.4,40.43,40.54,20.0,-0.1
2.01,0.35,0.0,40.52,40.87,0.0,0.0,0.0
3.01,-1.18,0.0,41.83,40.65,0.0,0.0,0.0
4.02,-12.02,-38.16,42.18,30.16,-18.03,-20.0,-0.13
5.02,-6.85,-30.27,13.19,6.34,-10.27,-20.0,0.0
6.03,0.77,0.0,6.0,6.77,0.0,0.0,0.0
7.03,13.92,40.88,10.12,24.04,20.88,20.0,-0.0
8.03,5.96,28.84,38.4,44.36,8.94,20.0,-0.1
9.04,-0.48,0.0,45.5,45.02,0.0,0.0,0.0
10.04,-3.96,-25.94,45.05,41.08,-5.94,-20.0,0.0
11.05,-1.24,0.0,41.01,39.77,0.0,0.0,0.0
12.06,-0.57,0.0,41.0,40.43,0.0,0.0,0.0
13.06,-0.79,0.0,41.0,40.21,0.0,0.0,0.0
14.06,-0.57,0.0,41.0,40.43,0.0,0.0,0.0
15.07,-1.45,0.0,41.0,39.55,0.0,0.0,0.0
16.07,-0.57,0.0,41.0,40.43,0.0,0.0,0.0
17.07,-0.57,0.0,41.0,40.43,0.0,0.0,0.0
18.08,-0.35,0.0,41.0,40.65,0.0,0.0,0.0
