time,error,control,position,target,P,I,D
0.0,6.56,7.54,0.0,6.56,6.56,0.66,0.33
1.01,2.91,10.04,4.09,6.99,5.05,5.0,-0.01
2.01,2.69,10.04,4.09,6.77,5.05,5.0,-0.01
3.01,2.69,10.04,4.09,6.77,5.05,5.0,-0.01
4.02,2.69,10.04,4.09,6.77,5.05,5.0,-0.01
5.02,18.98,23.98,6.59,25.57,18.98,5.0,-0.0
6.03,16.22,21.24,24.21,40.43,16.22,5.0,0.02
7.03,2.82,10.08,38.48,41.3,5.08,5.0,-0.0
8.03,2.16,10.08,38.49,40.65,5.08,5.0,-0.0
9.03,3.25,10.08,38.49,41.74,5.08,5.0,-0.0
10.04,-17.87,-22.88,24.64,6.77,-17.87,-5.0,-0.01
11.04,-2.45,-9.99,9.23,6.77,-5.01,-5.0,0.02
12.05,-1.96,-9.99,9.17,7.21,-5.01,-5.0,0.02
13.05,-2.18,-9.99,9.17,6.99,-5.01,-5.0,0.02
14.05,-2.83,-9.99,9.17,6.34,-5.01,-5.0,0.02
15.06,-1.74,-9.99,9.17,7.43,-5.01,-5.0,0.02
16.06,-2.61,-9.99,9.17,6.56,-5.01,-5.0,0.02
17.06,-2.18,-9.99,9.17,6.99,-5.01,-5.0,0.02
18.07,-2.39,-9.99,9.17,6.77,-5.01,-5.0,0.02
