time,error,control,position,target,P,I,D
1.0,57.38,1058.42,25.66,83.04,45.9,1012.09,0.43
2.01,0.91,0.0,81.48,82.39,0.0,0.0,0.0
3.01,-1.29,0.0,84.34,83.04,0.0,0.0,0.0
4.02,-1.96,0.0,84.35,82.39,0.0,0.0,0.0
5.02,-2.17,-2.84,84.34,82.17,-1.73,-0.02,-1.08
6.03,-1.91,0.0,84.07,82.17,0.0,0.0,0.0
7.03,-1.31,0.0,83.92,82.61,0.0,0.0,0.0
8.04,-1.06,0.0,83.67,82.61,0.0,0.0,0.0
9.04,-1.28,0.0,83.67,82.39,0.0,0.0,0.0
10.04,-1.28,0.0,83.67,82.39,0.0,0.0,0.0
11.05,-1.06,0.0,83.67,82.61,0.0,0.0,0.0
12.05,-1.06,0.0,83.67,82.61,0.0,0.0,0.0
13.06,-1.06,0.0,83.67,82.61,0.0,0.0,0.0
14.06,-1.28,0.0,83.67,82.39,0.0,0.0,0.0
15.06,-1.28,0.0,83.67,82.39,0.0,0.0,0.0
16.07,-1.5,0.0,83.67,82.17,0.0,0.0,0.0
17.07,-1.28,0.0,83.67,82.39,0.0,0.0,0.0
18.07,-1.5,0.0,83.67,82.17,0.0,0.0,0.0
19.08,-1.06,0.0,83.67,82.61,0.0,0.0,0.0
