time,error,control,position,target,P,I,D
1.0,69.4,1111.48,13.43,82.82,20.82,1090.64,0.02
2.01,40.14,2654.27,42.9,83.04,12.04,2642.23,-0.0
3.01,10.74,3359.56,72.3,83.04,3.22,3356.34,-0.0
4.01,-2.78,0.0,85.82,83.04,0.0,0.0,0.0
5.02,-2.78,0.0,85.83,83.04,0.0,0.0,0.0
6.03,-2.78,0.0,85.82,83.04,0.0,0.0,0.0
7.03,-3.21,-1.16,85.82,82.61,-0.96,-0.03,-0.16
8.03,-3.64,-1.29,85.8,82.17,-1.09,-0.17,-0.02
9.04,-3.45,-1.34,85.83,82.39,-1.03,-0.29,-0.02
10.05,-3.21,-1.05,85.81,82.61,-0.96,-0.1,0.01
11.05,-3.33,-1.07,85.72,82.39,-1.0,-0.07,0.0
12.06,-3.09,-0.99,85.48,82.39,-0.93,-0.06,0.0
13.06,-2.5,0.0,85.32,82.82,0.0,0.0,0.0
14.07,-2.5,0.0,85.33,82.82,0.0,0.0,0.0
15.07,-2.94,0.0,85.33,82.39,0.0,0.0,0.0
16.08,-2.28,0.0,85.33,83.04,0.0,0.0,0.0
17.08,-2.5,0.0,85.33,82.82,0.0,0.0,0.0
18.09,-2.72,0.0,85.32,82.61,0.0,0.0,0.0
19.09,-2.94,0.0,85.33,82.39,0.0,0.0,0.0
