time,error,control,position,target,P,I,D
0.0,7.21,9.74,0.0,7.21,7.21,2.16,0.36
0.02,7.15,22.15,0.07,7.21,7.15,15.0,-0.0
0.03,6.56,21.54,0.22,6.77,6.56,15.0,-0.02
0.08,6.6,21.63,0.83,7.43,6.6,15.0,0.02
0.12,5.48,20.49,1.51,6.99,5.48,15.0,0.01
0.17,5.04,20.03,2.39,7.43,5.04,15.0,-0.0
0.21,3.87,20.03,3.13,6.99,5.04,15.0,-0.0
0.26,3.21,20.03,3.78,6.99,5.04,15.0,-0.0
0.3,2.69,20.03,4.31,6.99,5.04,15.0,-0.0
0.35,2.05,20.03,4.72,6.77,5.04,15.0,-0.0
0.4,2.18,20.03,5.03,7.21,5.04,15.0,-0.0
0.44,2.22,20.03,5.21,7.43,5.04,15.0,-0.0
0.49,2.37,20.03,5.28,7.65,5.04,15.0,-0.0
0.53,1.99,20.03,5.22,7.21,5.04,15.0,-0.0
0.58,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
0.63,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
0.67,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
0.72,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
0.76,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
0.81,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
0.85,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
0.9,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
0.95,1.1,20.03,5.24,6.34,5.04,15.0,-0.0
0.99,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
1.04,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
1.08,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.13,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.17,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
1.22,1.53,20.03,5.24,6.77,5.04,15.0,-0.0
1.27,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
1.31,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
1.36,1.53,20.03,5.24,6.77,5.04,15.0,-0.0
1.4,1.53,20.03,5.24,6.77,5.04,15.0,-0.0
1.45,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
1.49,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
1.54,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
1.59,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.63,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.68,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
1.72,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.77,1.32,20.03,5.24,6.56,5.04,15.0,-0.0
1.82,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.86,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
1.91,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
1.95,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
