time,error,control,position,target,P,I,D
2.0,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.04,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
2.09,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.14,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.18,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.23,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.27,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
2.32,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
2.36,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
2.41,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
2.46,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.5,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.55,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
2.59,1.53,20.03,5.24,6.77,5.04,15.0,-0.0
2.64,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.68,1.53,20.03,5.24,6.77,5.04,15.0,-0.0
2.73,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
2.78,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
2.82,2.41,20.03,5.24,7.65,5.04,15.0,-0.0
2.87,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
2.91,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
2.96,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
3.01,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
3.05,1.75,20.03,5.24,6.99,5.04,15.0,-0.0
3.1,1.97,20.03,5.24,7.21,5.04,15.0,-0.0
3.14,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
3.19,2.19,20.03,5.24,7.43,5.04,15.0,-0.0
3.23,6.56,21.56,5.24,11.8,6.56,15.0,-0.0
3.28,7.31,22.31,5.58,12.89,7.31,15.0,-0.0
3.33,3.99,20.23,6.28,10.27,5.23,15.0,-0.0
3.37,20.19,34.93,6.91,27.1,20.19,15.0,-0.25
3.42,17.3,32.3,7.61,24.91,17.3,15.0,-0.0
3.47,25.0,40.0,8.44,33.44,25.0,15.0,-0.0
3.52,29.19,44.19,9.27,38.46,29.19,15.0,-0.0
3.57,28.11,43.11,10.13,38.24,28.11,15.0,-0.0
3.62,29.63,44.68,11.01,40.65,29.63,15.0,0.04
3.67,29.01,44.01,11.85,40.87,29.01,15.0,-0.0
3.72,28.37,43.37,12.71,41.08,28.37,15.0,-0.0
3.77,30.55,45.55,13.59,44.14,30.55,15.0,-0.0
3.82,27.69,42.7,14.48,42.18,27.69,15.0,0.01
3.87,25.98,41.0,15.32,41.3,25.98,15.0,0.02
3.91,24.03,39.02,16.18,40.21,24.03,15.0,-0.01
3.96,23.81,38.79,17.06,40.87,23.81,15.0,-0.02
4.01,23.81,38.82,17.93,41.74,23.81,15.0,0.01
4.06,21.67,36.63,18.76,40.43,21.67,15.0,-0.04
4.11,21.65,36.68,19.65,41.3,21.65,15.0,0.02
4.16,20.8,35.82,20.51,41.3,20.8,15.0,0.02
4.21,19.93,34.93,21.37,41.3,19.93,15.0,-0.0
4.26,19.06,34.06,22.24,41.3,19.06,15.0,-0.0
4.31,17.55,32.53,23.1,40.65,17.55,15.0,-0.02
4.36,17.11,32.11,23.97,41.08,17.11,15.0,-0.0
4.41,17.09,32.13,24.87,41.96,17.09,15.0,0.04
4.46,15.38,30.36,25.71,41.08,15.38,15.0,-0.02
4.51,14.94,29.94,26.58,41.52,14.94,15.0,-0.0
4.56,13.85,28.88,27.45,41.3,13.85,15.0,0.02
4.61,12.77,27.76,28.31,41.08,12.77,15.0,-0.01
4.66,11.93,26.94,29.16,41.08,11.93,15.0,0.01
4.71,11.48,26.49,30.04,41.52,11.48,15.0,0.01
4.76,10.17,25.17,30.91,41.08,10.17,15.0,-0.0
4.8,9.33,24.34,31.75,41.08,9.33,15.0,0.01
4.85,8.5,23.48,32.59,41.08,8.5,15.0,-0.02
4.9,7.67,22.65,33.42,41.08,7.67,15.0,-0.01
4.95,6.81,21.81,34.28,41.08,6.81,15.0,-0.0
5.0,6.23,21.22,35.08,41.3,6.23,15.0,-0.0
