time,error,control,position,target,P,I,D
1.0,27.21,120.82,13.43,40.65,40.82,80.0,-0.0
2.01,-1.93,-9.02,41.92,39.99,-2.89,-6.13,-0.0
3.01,-0.82,0.0,41.25,40.43,0.0,0.0,0.0
4.02,-14.2,-101.27,20.98,6.77,-21.31,-80.0,0.03
5.02,-0.23,0.0,7.01,6.77,0.0,0.0,0.0
6.03,-0.23,0.0,7.01,6.77,0.0,0.0,0.0
7.03,14.29,101.43,27.67,41.96,21.43,80.0,-0.0
8.03,-0.44,0.0,46.56,46.11,0.0,0.0,0.0
9.04,0.38,0.0,39.83,40.21,0.0,0.0,0.0
10.05,0.81,0.0,39.83,40.65,0.0,0.0,0.0
11.05,-7.06,-90.62,13.83,6.77,-10.59,-80.0,-0.03
12.06,0.22,0.0,6.33,6.56,0.0,0.0,0.0
13.06,20.76,110.46,6.33,27.1,31.15,80.0,-0.69
14.07,10.91,96.36,33.23,44.14,16.37,80.0,-0.0
15.07,0.59,0.0,39.84,40.43,0.0,0.0,0.0
16.08,-19.3,-108.94,39.4,20.11,-28.95,-80.0,0.0
17.08,-2.92,-84.38,9.48,6.56,-4.38,-80.0,0.0
18.08,0.44,0.0,6.34,6.77,0.0,0.0,0.0
