time,error,control,position,target,P,I,D
1.0,70.26,75.26,13.44,83.7,70.26,5.0,-0.0
2.01,47.18,52.22,36.3,83.48,47.18,5.0,0.04
3.01,31.14,36.08,51.68,82.82,31.14,5.0,-0.07
4.01,21.02,26.0,62.03,83.04,21.02,5.0,-0.02
5.02,13.85,18.84,68.98,82.82,13.85,5.0,-0.0
6.02,9.21,14.16,73.62,82.82,9.21,5.0,-0.04
7.03,5.38,10.38,77.67,83.04,5.38,5.0,-0.0
8.03,4.55,0.0,78.5,83.04,0.0,0.0,0.0
9.03,5.2,7.39,78.5,83.7,5.2,2.19,-0.0
10.04,4.55,0.0,78.5,83.04,0.0,0.0,0.0
11.05,4.77,0.0,78.49,83.26,0.0,0.0,0.0
12.05,5.42,6.23,78.5,83.92,5.42,0.27,0.54
13.06,4.76,0.0,78.5,83.26,0.0,0.0,0.0
14.06,4.76,0.0,78.5,83.26,0.0,0.0,0.0
15.07,4.99,0.0,78.5,83.48,0.0,0.0,0.0
16.07,4.54,0.0,78.5,83.04,0.0,0.0,0.0
17.08,4.76,0.0,78.5,83.26,0.0,0.0,0.0
18.08,4.98,0.0,78.5,83.48,0.0,0.0,0.0
19.09,4.98,0.0,78.5,83.48,0.0,0.0,0.0
