time,error,control,position,target,P,I,D
0.0,6.77,9.15,0.0,6.77,6.77,2.03,0.34
0.02,6.73,21.73,0.05,6.77,6.73,15.0,-0.0
0.03,6.6,21.59,0.17,6.77,6.6,15.0,-0.01
0.08,6.01,21.02,0.77,6.77,6.01,15.0,0.01
0.12,5.32,20.32,1.45,6.77,5.32,15.0,-0.0
0.17,4.64,20.01,2.36,6.99,5.01,15.0,-0.0
0.21,3.56,20.01,2.99,6.56,5.01,15.0,-0.0
0.26,3.68,20.01,3.54,7.21,5.01,15.0,-0.0
0.3,3.48,20.01,3.96,7.43,5.01,15.0,-0.0
0.35,2.3,20.01,4.26,6.56,5.01,15.0,-0.0
0.4,1.66,20.01,4.45,6.12,5.01,15.0,-0.0
0.44,2.23,20.01,4.55,6.77,5.01,15.0,-0.0
0.49,2.3,20.01,4.48,6.77,5.01,15.0,-0.0
0.53,2.49,20.01,4.5,6.99,5.01,15.0,-0.0
0.58,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
0.63,1.84,20.01,4.5,6.34,5.01,15.0,-0.0
0.67,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
0.72,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
0.76,2.71,20.01,4.5,7.21,5.01,15.0,-0.0
0.81,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
0.85,1.84,20.01,4.5,6.34,5.01,15.0,-0.0
0.9,1.62,20.01,4.5,6.12,5.01,15.0,-0.0
0.95,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
0.99,2.49,20.01,4.5,6.99,5.01,15.0,-0.0
1.04,2.49,20.01,4.5,6.99,5.01,15.0,-0.0
1.08,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
1.13,1.84,20.01,4.5,6.34,5.01,15.0,-0.0
1.17,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.22,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.27,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.31,2.49,20.01,4.5,6.99,5.01,15.0,-0.0
1.36,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
1.4,2.71,20.01,4.5,7.21,5.01,15.0,-0.0
1.45,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
1.5,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.54,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.59,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.63,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.68,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
1.72,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
1.77,1.62,20.01,4.5,6.12,5.01,15.0,-0.0
1.82,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
1.86,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
1.91,2.49,20.01,4.5,6.99,5.01,15.0,-0.0
1.95,2.71,20.01,4.5,7.21,5.01,15.0,-0.0
2.0,2.06,20.01,4.5,6.56,5.01,15.0,-0.0
2.04,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
2.09,2.71,20.01,4.5,7.21,5.01,15.0,-0.0
2.14,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
2.18,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
2.23,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
2.27,2.27,20.01,4.5,6.77,5.01,15.0,-0.0
