time,error,control,position,target,P,I,D
1.0,26.62,119.79,13.38,39.99,39.92,80.0,-0.13
2.01,-0.97,0.0,41.83,40.87,0.0,0.0,0.0
3.01,0.65,0.0,40.0,40.65,0.0,0.0,0.0
4.02,0.22,0.0,40.0,40.21,0.0,0.0,0.0
5.02,0.87,0.0,40.0,40.87,0.0,0.0,0.0
6.03,-22.16,-113.24,28.94,6.77,-33.25,-80.0,0.0
7.03,0.08,0.0,6.47,6.56,0.0,0.0,0.0
8.04,-0.22,0.0,7.0,6.77,0.0,0.0,0.0
9.04,17.63,106.35,12.09,29.72,26.45,80.0,-0.1
10.05,-0.37,0.0,41.02,40.65,0.0,0.0,0.0
11.05,1.15,0.0,39.5,40.65,0.0,0.0,0.0
12.06,1.81,14.35,39.5,41.3,2.71,11.61,0.03
13.06,-26.36,-119.53,33.13,6.77,-39.54,-80.0,0.0
14.07,1.96,20.8,4.82,6.77,2.93,17.87,-0.0
15.07,-0.55,0.0,7.32,6.77,0.0,0.0,0.0
16.08,19.46,109.19,22.94,42.4,29.19,80.0,-0.0
17.08,-0.07,0.0,40.5,40.43,0.0,0.0,0.0
18.09,-0.06,0.0,40.49,40.43,0.0,0.0,0.0
