time,error,control,position,target,P,I,D
1.0,68.99,1106.72,13.39,82.39,20.7,1086.03,-0.0
2.01,39.29,2645.88,42.88,82.17,11.79,2634.1,-0.0
3.01,10.33,3348.33,72.28,82.61,3.1,3345.24,-0.0
4.01,-3.1,-1.05,85.49,82.39,-0.93,-0.12,0.0
5.02,-3.1,-1.12,85.49,82.39,-0.93,-0.03,-0.16
6.03,-3.1,-1.11,85.48,82.39,-0.93,-0.03,-0.15
7.03,-2.93,0.0,85.31,82.39,0.0,0.0,0.0
8.03,-2.29,0.0,85.33,83.04,0.0,0.0,0.0
9.04,-2.5,0.0,85.33,82.82,0.0,0.0,0.0
10.05,-2.5,0.0,85.33,82.82,0.0,0.0,0.0
11.05,-2.94,0.0,85.32,82.39,0.0,0.0,0.0
12.06,-2.94,0.0,85.33,82.39,0.0,0.0,0.0
13.06,-2.51,0.0,85.33,82.82,0.0,0.0,0.0
14.07,-2.28,0.0,85.32,83.04,0.0,0.0,0.0
15.07,-2.5,0.0,85.32,82.82,0.0,0.0,0.0
16.08,-2.47,0.0,85.3,82.82,0.0,0.0,0.0
17.08,-3.0,0.0,85.17,82.17,0.0,0.0,0.0
18.09,-3.43,-1.23,85.16,81.73,-1.03,-0.03,-0.17
19.09,-2.33,0.0,85.16,82.82,0.0,0.0,0.0
