time,error,control,position,target,P,I,D
1.0,31.97,2640.46,8.24,40.21,47.96,2592.5,-0.0
2.01,13.76,5904.24,26.01,39.77,20.64,5883.6,-0.0
3.01,0.68,0.0,39.96,40.65,0.0,0.0,0.0
4.01,0.47,0.0,39.96,40.43,0.0,0.0,0.0
5.02,0.25,0.0,39.96,40.21,0.0,0.0,0.0
6.02,-0.63,0.0,39.96,39.34,0.0,0.0,0.0
7.03,-32.94,-324.45,39.06,6.12,-49.41,-275.1,0.07
8.03,-15.1,-3697.86,21.21,6.12,-22.64,-3675.21,0.0
9.03,-0.67,0.0,6.57,5.9,0.0,0.0,0.0
10.04,-0.66,0.0,6.56,5.9,0.0,0.0,0.0
11.04,-0.66,0.0,6.56,5.9,0.0,0.0,0.0
12.04,-0.44,0.0,6.56,6.12,0.0,0.0,0.0
13.05,24.89,984.02,13.13,38.03,37.34,946.68,-0.0
14.05,8.44,3470.92,30.9,39.34,12.66,3458.26,-0.0
15.06,-1.07,0.0,40.4,39.34,0.0,0.0,0.0
16.06,-1.28,0.0,40.4,39.12,0.0,0.0,0.0
17.06,-1.07,0.0,40.4,39.34,0.0,0.0,0.0
18.07,-1.28,0.0,40.4,39.12,0.0,0.0,0.0
19.07,-1.07,0.0,40.4,39.34,0.0,0.0,0.0
