time,error,control,position,target,P,I,D
1.0,74.14,5662.24,8.25,82.39,88.97,5573.27,-0.0
2.01,56.31,14875.7,26.07,82.39,67.58,14808.17,-0.04
3.01,38.52,21598.5,43.87,82.39,46.22,21552.28,-0.0
4.01,20.96,25784.4,61.65,82.61,25.15,25759.21,0.04
5.02,3.63,5.27,79.41,83.04,4.36,0.18,0.73
6.02,1.38,0.0,81.01,82.39,0.0,0.0,0.0
7.03,1.38,0.0,81.01,82.39,0.0,0.0,0.0
8.03,1.38,0.0,81.01,82.39,0.0,0.0,0.0
9.03,1.38,0.0,81.01,82.39,0.0,0.0,0.0
10.04,1.16,0.0,81.01,82.17,0.0,0.0,0.0
11.04,1.38,0.0,81.01,82.39,0.0,0.0,0.0
12.04,1.6,0.0,81.01,82.61,0.0,0.0,0.0
13.05,1.82,0.0,81.01,82.82,0.0,0.0,0.0
14.05,1.38,0.0,81.01,82.39,0.0,0.0,0.0
15.05,1.38,0.0,81.01,82.39,0.0,0.0,0.0
16.06,1.82,0.0,81.01,82.82,0.0,0.0,0.0
17.06,1.6,0.0,81.01,82.61,0.0,0.0,0.0
18.06,1.82,0.0,81.01,82.82,0.0,0.0,0.0
19.07,1.38,0.0,81.01,82.39,0.0,0.0,0.0
