time,error,control,position,target,P,I,D
1.0,27.91,62.06,13.39,41.3,41.86,20.0,0.2
2.01,-0.18,0.0,40.39,40.21,0.0,0.0,0.0
3.01,-0.84,0.0,41.49,40.65,0.0,0.0,0.0
4.02,-18.14,-47.2,25.13,6.99,-27.2,-20.0,0.0
5.02,-0.14,0.0,7.13,6.99,0.0,0.0,0.0
6.03,-0.4,0.0,7.17,6.77,0.0,0.0,0.0
7.03,14.03,41.05,28.36,42.4,21.05,20.0,-0.0
8.03,-0.86,0.0,42.82,41.96,0.0,0.0,0.0
9.04,-0.43,0.0,42.83,42.4,0.0,0.0,0.0
10.05,-9.84,-34.75,16.39,6.56,-14.76,-20.0,0.0
11.05,0.72,0.0,5.83,6.56,0.0,0.0,0.0
12.06,16.07,44.1,11.25,27.32,24.1,20.0,-0.0
13.06,2.18,23.26,38.69,40.87,3.27,20.0,-0.0
14.06,-0.86,0.0,42.16,41.3,0.0,0.0,0.0
15.07,-17.54,-46.25,24.53,6.99,-26.31,-20.0,0.07
16.07,0.71,0.0,6.06,6.77,0.0,0.0,0.0
17.08,0.77,0.0,6.0,6.77,0.0,0.0,0.0
18.08,11.62,37.43,28.81,40.43,17.43,20.0,-0.0
