time,error,control,position,target,P,I,D
1.0,69.43,5341.45,8.15,77.58,104.15,5237.3,-0.0
2.01,51.69,13897.6,25.89,77.58,77.53,13820.05,0.02
3.01,33.99,19936.13,43.59,77.58,50.99,19885.14,-0.0
4.01,15.87,23452.88,61.27,77.14,23.81,23429.07,-0.0
5.02,1.22,0.0,76.14,77.36,0.0,0.0,0.0
6.02,0.54,0.0,76.16,76.71,0.0,0.0,0.0
7.03,0.98,0.0,76.16,77.14,0.0,0.0,0.0
8.03,1.42,0.0,76.16,77.58,0.0,0.0,0.0
9.04,1.2,0.0,76.17,77.36,0.0,0.0,0.0
10.04,1.2,0.0,76.17,77.36,0.0,0.0,0.0
11.05,1.2,0.0,76.17,77.36,0.0,0.0,0.0
12.06,1.19,0.0,76.17,77.36,0.0,0.0,0.0
13.06,0.98,0.0,76.17,77.14,0.0,0.0,0.0
14.06,0.76,0.0,76.17,76.92,0.0,0.0,0.0
15.07,1.41,0.0,76.17,77.58,0.0,0.0,0.0
16.07,2.07,3.41,76.17,78.24,3.1,0.1,0.21
17.08,0.54,0.0,76.17,76.71,0.0,0.0,0.0
18.08,1.63,0.0,76.17,77.8,0.0,0.0,0.0
19.09,0.97,0.0,76.17,77.14,0.0,0.0,0.0
