time,error,control,position,target,P,I,D
1.0,69.42,1108.81,13.41,82.82,20.83,1087.98,0.01
2.01,40.16,2648.31,42.88,83.04,12.05,2636.26,-0.0
3.01,10.33,3350.36,72.28,82.61,3.1,3347.27,-0.0
4.01,-2.68,0.0,85.5,82.82,0.0,0.0,0.0
5.02,-2.3,0.0,85.35,83.04,0.0,0.0,0.0
6.03,-2.95,0.0,85.33,82.39,0.0,0.0,0.0
7.03,-2.51,0.0,85.34,82.82,0.0,0.0,0.0
8.03,-2.94,0.0,85.32,82.39,0.0,0.0,0.0
9.04,-2.95,0.0,85.34,82.39,0.0,0.0,0.0
10.05,-2.95,0.0,85.34,82.39,0.0,0.0,0.0
11.05,-2.95,0.0,85.34,82.39,0.0,0.0,0.0
12.06,-2.3,0.0,85.34,83.04,0.0,0.0,0.0
13.06,-2.73,0.0,85.33,82.61,0.0,0.0,0.0
14.07,-3.16,-1.04,85.33,82.17,-0.95,-0.09,0.0
15.07,-2.73,0.0,85.34,82.61,0.0,0.0,0.0
16.08,-2.51,0.0,85.33,82.82,0.0,0.0,0.0
17.08,-2.73,0.0,85.33,82.61,0.0,0.0,0.0
18.09,-2.95,0.0,85.33,82.39,0.0,0.0,0.0
19.09,-2.94,0.0,85.33,82.39,0.0,0.0,0.0
