time,error,control,position,target,P,I,D
0.0,42.18,73.27,0.0,42.18,63.27,10.0,0.0
1.01,20.76,41.13,21.42,42.18,31.13,10.0,-0.0
2.01,2.83,14.25,39.13,41.96,4.25,10.0,-0.0
3.01,-0.16,0.0,42.34,42.18,0.0,0.0,0.0
4.02,-32.35,-58.53,39.56,7.21,-48.53,-10.0,0.0
5.02,-27.49,-51.34,34.05,6.56,-41.24,-10.0,-0.1
6.03,-20.04,-40.06,27.04,6.99,-30.07,-10.0,0.0
7.03,-11.34,-27.0,18.11,6.77,-17.0,-10.0,0.0
8.04,-0.91,0.0,7.47,6.56,0.0,0.0,0.0
9.04,-0.99,0.0,7.33,6.34,0.0,0.0,0.0
10.04,25.05,47.58,12.53,37.59,37.58,10.0,-0.0
11.05,9.07,23.6,32.01,41.08,13.61,10.0,-0.0
12.05,0.25,0.0,40.83,41.08,0.0,0.0,0.0
13.06,-0.19,0.0,40.83,40.65,0.0,0.0,0.0
14.06,-0.4,0.0,40.83,40.43,0.0,0.0,0.0
15.06,0.03,0.0,40.83,40.87,0.0,0.0,0.0
16.07,0.03,0.0,40.83,40.87,0.0,0.0,0.0
17.07,0.69,0.0,40.83,41.52,0.0,0.0,0.0
