time,error,control,position,target,P,I,D
0.0,40.65,70.97,0.0,40.65,60.97,10.0,0.0
1.01,19.71,39.56,21.16,40.87,29.56,10.0,-0.0
2.01,2.03,5.16,38.62,40.65,3.04,2.13,-0.0
3.02,-0.19,0.0,40.83,40.65,0.0,0.0,0.0
4.02,-29.69,-54.53,36.9,7.21,-44.53,-10.0,0.0
5.03,-23.04,-44.56,30.47,7.43,-34.56,-10.0,0.0
6.03,-14.74,-32.11,22.39,7.65,-22.11,-10.0,0.0
7.03,-5.14,-17.7,12.13,6.99,-7.71,-10.0,0.0
8.04,0.01,0.0,7.42,7.43,0.0,0.0,0.0
9.04,13.05,29.67,9.68,22.73,19.57,10.0,0.1
10.05,12.05,28.07,28.82,40.87,18.07,10.0,-0.0
11.05,-0.02,0.0,40.67,40.65,0.0,0.0,0.0
12.06,0.42,0.0,40.67,41.08,0.0,0.0,0.0
13.06,0.42,0.0,40.67,41.08,0.0,0.0,0.0
14.06,-0.02,0.0,40.67,40.65,0.0,0.0,0.0
15.07,0.2,0.0,40.67,40.87,0.0,0.0,0.0
16.07,-0.68,0.0,40.67,39.99,0.0,0.0,0.0
17.07,-0.24,0.0,40.67,40.43,0.0,0.0,0.0
