time,error,control,position,target,P,I,D
0.0,40.43,70.64,0.0,40.43,60.64,10.0,0.0
1.01,13.67,30.5,27.41,41.08,20.51,10.0,-0.0
2.01,-0.78,0.0,40.99,40.21,0.0,0.0,0.0
3.02,-14.99,-32.49,22.42,7.43,-22.49,-10.0,0.0
4.02,0.63,0.0,6.37,6.99,0.0,0.0,0.0
5.03,0.65,0.0,6.34,6.99,0.0,0.0,0.0
6.03,18.33,37.53,22.97,41.3,27.5,10.0,0.03
7.04,-1.28,0.0,42.14,40.87,0.0,0.0,0.0
8.04,-0.37,0.0,41.67,41.3,0.0,0.0,0.0
9.05,-19.46,-39.18,26.23,6.77,-29.19,-10.0,0.0
10.05,1.28,0.0,5.5,6.77,0.0,0.0,0.0
11.06,1.31,0.0,5.68,6.99,0.0,0.0,0.0
12.06,1.09,0.0,5.68,6.77,0.0,0.0,0.0
13.07,11.9,27.84,28.31,40.21,17.85,10.0,-0.0
14.07,0.28,0.0,40.8,41.08,0.0,0.0,0.0
15.08,-0.62,0.0,40.83,40.21,0.0,0.0,0.0
16.08,-0.62,0.0,40.83,40.21,0.0,0.0,0.0
17.08,-0.19,0.0,40.83,40.65,0.0,0.0,0.0
