time,error,control,position,target,P,I,D
1.0,74.58,114.71,8.46,83.04,1.49,113.22,-0.0
2.01,45.77,284.01,37.93,83.7,0.92,283.1,-0.0
3.01,15.07,369.94,67.32,82.39,0.3,369.64,-0.0
4.01,-1.69,0.0,85.17,83.48,0.0,0.0,0.0
5.02,-1.69,0.0,85.17,83.48,0.0,0.0,0.0
6.02,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
7.03,-1.69,0.0,85.17,83.48,0.0,0.0,0.0
8.03,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
9.03,-1.69,0.0,85.17,83.48,0.0,0.0,0.0
10.03,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
11.04,-2.34,0.0,85.17,82.82,0.0,0.0,0.0
12.04,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
13.04,-1.9,0.0,85.17,83.26,0.0,0.0,0.0
14.05,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
15.05,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
16.05,-2.12,0.0,85.17,83.04,0.0,0.0,0.0
17.06,-2.34,0.0,85.17,82.82,0.0,0.0,0.0
18.06,-1.9,0.0,85.17,83.26,0.0,0.0,0.0
19.06,-1.9,0.0,85.17,83.26,0.0,0.0,0.0
