time,error,control,position,target,P,I,D
1.0,74.18,2276.96,8.2,82.39,44.51,2232.47,-0.02
2.01,56.78,5965.4,26.05,82.82,34.07,5931.25,0.09
3.01,39.2,8651.51,43.84,83.04,23.52,8627.94,0.04
4.01,20.77,10330.5,61.62,82.39,12.46,10318.04,-0.0
5.02,3.5,2.49,79.33,82.82,2.1,0.39,-0.0
6.02,1.29,0.0,80.66,81.95,0.0,0.0,0.0
7.03,1.73,0.0,80.66,82.39,0.0,0.0,0.0
8.03,1.73,0.0,80.66,82.39,0.0,0.0,0.0
9.03,1.73,0.0,80.66,82.39,0.0,0.0,0.0
10.04,1.35,0.0,80.82,82.17,0.0,0.0,0.0
11.05,2.0,0.0,80.82,82.82,0.0,0.0,0.0
12.05,1.56,0.0,80.82,82.39,0.0,0.0,0.0
13.05,2.44,0.0,80.82,83.26,0.0,0.0,0.0
14.06,1.78,0.0,80.82,82.61,0.0,0.0,0.0
15.06,2.22,0.0,80.82,83.04,0.0,0.0,0.0
16.06,1.78,0.0,80.82,82.61,0.0,0.0,0.0
17.07,1.56,0.0,80.82,82.39,0.0,0.0,0.0
18.07,1.56,0.0,80.82,82.39,0.0,0.0,0.0
19.07,1.56,0.0,80.82,82.39,0.0,0.0,0.0
