time,error,control,position,target,P,I,D
0.0,6.99,13.29,0.0,6.99,10.49,2.8,0.0
1.01,-0.49,0.0,6.83,6.34,0.0,0.0,0.0
2.01,-0.49,0.0,6.83,6.34,0.0,0.0,0.0
3.01,-0.06,0.0,6.83,6.77,0.0,0.0,0.0
4.02,-0.28,0.0,6.83,6.56,0.0,0.0,0.0
5.02,-0.28,0.0,6.83,6.56,0.0,0.0,0.0
6.02,4.36,16.47,15.53,19.89,6.53,10.0,-0.07
7.03,2.24,5.48,31.85,34.09,3.37,2.08,0.03
8.03,10.0,25.04,38.51,48.51,15.01,10.0,0.03
9.04,-2.29,-13.43,53.21,50.92,-3.43,-10.0,0.0
10.05,-0.99,0.0,45.79,44.8,0.0,0.0,0.0
11.05,-33.81,-60.71,40.36,6.56,-50.71,-10.0,0.0
12.05,-28.09,-52.14,35.3,7.21,-42.14,-10.0,0.0
13.06,-22.09,-43.1,28.86,6.77,-33.13,-10.0,0.03
14.06,-14.09,-31.14,20.65,6.56,-21.14,-10.0,0.0
15.06,-3.04,-14.49,10.25,7.21,-4.56,-10.0,0.07
16.07,0.16,0.0,6.83,6.99,0.0,0.0,0.0
17.07,-0.06,0.0,6.83,6.77,0.0,0.0,0.0
