time,error,control,position,target,P,I,D
1.0,72.52,116.87,13.59,86.1,108.77,8.0,0.1
2.01,42.92,72.28,42.96,85.88,64.38,8.0,-0.1
3.01,14.11,29.13,71.55,85.67,21.17,8.0,-0.03
4.01,-0.8,0.0,86.68,85.88,0.0,0.0,0.0
5.02,-1.01,0.0,86.68,85.67,0.0,0.0,0.0
6.02,-0.13,0.0,86.67,86.54,0.0,0.0,0.0
7.03,-1.0,0.0,86.67,85.67,0.0,0.0,0.0
8.03,-0.57,0.0,86.67,86.1,0.0,0.0,0.0
9.04,-1.0,0.0,86.67,85.67,0.0,0.0,0.0
10.04,-1.22,0.0,86.67,85.45,0.0,0.0,0.0
11.05,-1.22,0.0,86.67,85.45,0.0,0.0,0.0
12.06,-0.79,0.0,86.67,85.88,0.0,0.0,0.0
13.06,-0.78,0.0,86.67,85.88,0.0,0.0,0.0
14.06,-1.0,0.0,86.67,85.67,0.0,0.0,0.0
15.07,-0.57,0.0,86.67,86.1,0.0,0.0,0.0
16.07,-1.23,0.0,86.68,85.45,0.0,0.0,0.0
17.08,-0.79,0.0,86.68,85.88,0.0,0.0,0.0
18.08,-1.0,0.0,86.67,85.67,0.0,0.0,0.0
